[2026-09-05 09:28:58] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:28:58.179Z"} 
[2026-09-05 09:29:15] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:29:15.164Z"} 
[2026-09-05 09:29:17] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:29:17.844Z"} 
[2026-09-05 09:29:19] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:29:19.503Z"} 
[2026-09-05 09:29:37] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:29:37.414Z"} 
[2026-09-05 09:30:17] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:30:16.981Z"} 
[2026-09-05 09:34:29] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:34:29.476Z"} 
[2026-09-05 09:34:37] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T09:34:37.176Z"} 
[2026-09-05 11:11:40] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:11:40.724Z"} 
[2026-09-05 11:11:43] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:11:43.812Z"} 
[2026-09-05 11:11:49] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:11:49.449Z"} 
[2026-09-05 11:11:55] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:11:55.694Z"} 
[2026-09-05 11:12:00] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:12:00.248Z"} 
[2026-09-05 11:12:24] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:12:24.847Z"} 
[2026-09-05 11:12:28] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:12:28.135Z"} 
[2026-09-05 11:12:37] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:12:37.057Z"} 
[2026-09-05 11:12:50] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:12:50.032Z"} 
[2026-09-05 11:12:51] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:12:51.753Z"} 
[2026-09-05 11:13:07] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0","timestamp":"2026-09-05T11:13:06.988Z"} 
[2026-09-05 16:00:28] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.136.1 Chrome/148.0.7778.280 Electron/42.10.0 Safari/537.36","timestamp":"2026-09-05T16:00:27.952Z"} 
[2026-09-05 16:00:37] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:00:37.011Z"} 
[2026-09-05 16:00:39] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:00:39.074Z"} 
[2026-09-05 16:00:42] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:00:42.306Z"} 
[2026-09-05 16:01:32] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:01:32.414Z"} 
[2026-09-05 16:01:39] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:01:39.546Z"} 
[2026-09-05 16:01:44] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/danh-muc/dien-thoai","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:01:44.095Z"} 
[2026-09-05 16:01:50] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:01:50.411Z"} 
[2026-09-05 16:01:52] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/thanh-toan","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T16:01:51.993Z"} 
[2026-09-05 23:40:58] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T23:40:58.155Z"} 
[2026-09-05 23:43:18] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T23:43:18.332Z"} 
[2026-09-05 23:50:59] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.136.1 Chrome/148.0.7778.280 Electron/42.10.0 Safari/537.36","timestamp":"2026-09-05T23:50:58.902Z"} 
[2026-09-05 23:58:16] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-05T23:58:16.655Z"} 
[2026-09-06 00:42:17] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:42:17.247Z"} 
[2026-09-06 00:42:20] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:42:20.644Z"} 
[2026-09-06 00:44:27] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-nhap","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:44:27.566Z"} 
[2026-09-06 00:44:30] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:44:30.707Z"} 
[2026-09-06 00:44:44] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:44:44.756Z"} 
[2026-09-06 00:46:06] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/gio-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T00:46:06.042Z"} 
